13:03:02.375 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.family.FamilyApplicationTests], using SpringBootContextLoader
13:03:02.383 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.family.FamilyApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
13:03:02.384 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.family.FamilyApplicationTests]: FamilyApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
13:03:02.525 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.family.FamilyApplication for test class com.example.family.FamilyApplicationTests
13:03:02.661 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
13:03:02.677 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3f446bef, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7829b776, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5778826f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5b64c4b7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4763c727, org.springframework.test.context.event.EventPublishingTestExecutionListener@72445aba, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@61bcd567, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1c80e49b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@458342d3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@15c25153, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1252b961, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@9ed238c]
13:03:03.172 [main] INFO  c.e.family.FamilyApplicationTests - Starting FamilyApplicationTests on DESKTOP-61O2SFQ with PID 13704 (started by calarck in F:\ideawork\family)
13:03:03.172 [main] INFO  c.e.family.FamilyApplicationTests - No active profile set, falling back to default profiles: default
13:03:04.310 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:03:04.656 [main] INFO  c.e.family.FamilyApplicationTests - Started FamilyApplicationTests in 1.927 seconds (JVM running for 3.324)
13:03:04.916 [main] INFO  c.e.family.FamilyApplicationTests - 您好
